"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"only",-0.012836,-0.035483,0.054684,-0.008132,0.057305,-0.025197,0.053249,-0.039303,-0.016037,-0.000109,0.043075,0.017744,-0.04254,0.025391,-0.060637,0.000796,0.034516,0.017271,-0.055682,-0.068976,-0.077372,-0.012746,0.038861,-0.012722,0.01485,0.019296,-0.034155,0.014696,0.008752,-0.017565,0.000395,0.008725,-0.014241,-0.000747,-0.046016,0.042582,0.048931,-0.004283,0.021456,0.039955,0.06127,-0.033605,0.014449,0.040017,-0.049674,0.023795,-0.032819,-0.005553,-0.041636,0.035287,-0.011953,0.006294,0.061166,-0.00731,0.025817,-0.026488,0.025362,-0.016288,-0.05059,0.09569,-0.014264,-0.011996,-0.004654,-0.018781,-0.018482,-0.073902,-0.040335,0.033959,-0.039978,0.010656,0.02463,0.002255,0.055789,0.002195,-0.014646,0.024527,0.054197,-0.021879,-0.05451,-0.043459,0.042849,0.020979,0.012846,-0.020971,0.035186,-0.021804,-0.029701,-0.002871,0.021162,-0.01471,-0.030664,0.033849,-0.002661,0.021759,-0.080932,-0.010344,0.025135,-0.0167,-0.037858,-0.038212
"few",-0.021113,-0.040649,0.060056,0.013604,0.074118,-0.030477,0.051285,-0.045135,-0.021066,-0.013647,0.054283,0.01576,-0.031915,0.017652,-0.067198,-0.018719,0.037413,0.021366,-0.047263,-0.067821,-0.092915,-0.014878,0.042189,-0.03253,0.021106,0.000969,-0.034388,0.017992,0.010009,-0.017195,-0.002441,0.018825,0.002085,-0.002239,-0.067545,0.056465,0.040545,-0.013283,0.029207,0.02579,0.064044,-0.042823,0.007321,0.038613,-0.051222,0.03007,-0.031043,-0.006425,-0.048435,0.048187,-0.017669,0.012113,0.062302,-0.013817,0.029121,-0.031478,0.023429,-0.023909,-0.047495,0.09491,-0.011477,-0.029995,-0.010248,-0.041608,-0.035571,-0.070873,-0.03565,0.02643,-0.040316,0.018554,0.012166,-0.011082,0.05434,-0.007962,-0.022521,0.033088,0.068331,-0.023223,-0.054787,-0.045535,0.05013,0.029201,0.012249,-0.021565,0.024828,-0.018306,-0.00997,-0.010746,0.017103,0.002117,-0.047045,0.041862,0.002962,0.023251,-0.089558,-0.023518,0.031955,-0.00594,-0.047508,-0.023589
"20",0.001362,-0.021209,0.052898,-0.009352,0.02674,-0.026322,0.034857,-0.040087,-0.015452,-0.021705,0.017363,0.030127,-0.027084,0.038274,-0.058834,0.0076,0.018146,0.024472,-0.032406,-0.044596,-0.068514,-0.006765,0.008834,-0.02951,0.006472,-0.001957,-0.032593,0.024447,0.020195,-0.033116,-0.023644,0.003808,-0.026494,0.000653,-0.005881,0.039652,0.000817,-0.02058,0.037656,0.020852,0.05363,-0.025413,0.033557,0.026064,-0.032829,0.042734,-0.039781,-0.003616,-0.000404,0.021204,-0.016253,0.029268,0.053328,-0.00808,0.013536,0.005989,0.043834,-0.047073,-0.050691,0.105864,-0.03802,-0.03349,-0.002004,-0.005669,-0.073965,-0.090313,-0.036532,0.005407,-0.035214,-0.002349,0.016792,-0.016808,0.034407,-0.019309,-0.014462,0.04293,0.065621,-0.022428,-0.052434,-0.029388,0.021273,0.011003,0.018056,-0.011526,0.014041,-0.008123,-0.021644,-0.039225,0.022628,-0.02094,-0.0172,0.057501,0.018789,0.032027,-0.07135,0.021956,0.064016,-0.006653,-0.037357,-0.036986
"At",-0.009886,-0.009125,0.046191,-0.009743,0.029011,-0.000708,0.029036,-0.021277,0.002207,-0.029124,-0.000706,0.027534,-0.016042,0.015514,-0.054981,-0.00294,0.025007,-0.002209,-0.04416,-0.02795,-0.067457,-0.009425,0.008756,-0.026171,0.008011,0.002666,-0.023541,0.027273,0.02708,-0.015538,-0.006263,-0.012875,-0.026868,-0.007285,-0.026142,0.030821,0.020569,-0.019328,0.029104,0.039668,0.030815,-0.033811,0.030684,0.036205,-0.031146,0.014756,-0.031004,-0.00631,-0.007696,0.02679,-0.02228,0.022819,0.050292,0.006168,0.01184,0.00464,0.04093,-0.026983,-0.035076,0.07935,-0.019036,-0.020217,-0.007467,0.006722,-0.056975,-0.061949,-0.016148,0.02801,-0.037013,-0.002501,0.017759,-0.010538,0.028273,-0.024444,-0.035094,0.021544,0.043626,-0.010708,-0.041097,-0.025138,0.047408,0.012279,0.001364,-0.009326,0.007838,-0.005582,-0.032047,-0.034762,0.009369,-0.010844,-0.023599,0.03719,-0.00781,0.024898,-0.063438,0.014041,0.034337,0.005558,-0.032408,-0.052726
"since",-0.005535,-0.038038,0.064775,-0.01386,0.066148,-0.035288,0.061705,-0.037462,-0.008805,-0.006542,0.045161,0.019955,-0.038249,0.020239,-0.068486,-0.012656,0.036154,0.018297,-0.05887,-0.068394,-0.084001,-0.020076,0.040371,-0.020335,0.018682,0.012437,-0.037999,0.02315,0.020281,-0.011792,0.003065,0.003775,-0.011186,-0.004113,-0.058838,0.05097,0.051997,-0.004113,0.026716,0.049935,0.050523,-0.040635,0.007796,0.039337,-0.047762,0.025666,-0.034703,-0.008613,-0.04023,0.038041,-0.006386,0.006332,0.06862,-0.016888,0.030474,-0.024395,0.030714,-0.020512,-0.052326,0.100442,-0.008372,-0.018482,-0.009393,-0.02989,-0.018811,-0.067587,-0.04149,0.033472,-0.043857,0.012695,0.028253,0.001907,0.066632,-0.001581,-0.017169,0.024006,0.062996,-0.019696,-0.059545,-0.036367,0.054543,0.03016,0.00563,-0.021451,0.037748,-0.021714,-0.025671,-0.010691,0.020889,-0.011158,-0.035856,0.029653,-0.005088,0.023528,-0.093419,-0.009798,0.023852,-0.020453,-0.039502,-0.032527
"Clock",-0.01143,-0.015394,0.05758,0.000158,0.033091,-0.020187,0.045228,-0.040388,0.001336,-0.019355,0.02023,0.027593,-0.034518,0.026953,-0.060969,0.004159,0.023603,0.010496,-0.045916,-0.048981,-0.080911,-0.006444,0.015396,-0.023343,0.00159,0.016912,-0.026986,0.019782,0.018989,-0.026282,-0.012233,-0.003918,-0.017771,0.012891,-0.03215,0.033368,0.029007,-0.023751,0.023591,0.041341,0.061751,-0.046079,0.033925,0.036937,-0.0411,0.025555,-0.037925,-0.012683,-0.014088,0.027733,-0.019687,0.024258,0.053137,-0.000645,0.011052,0.002779,0.042599,-0.033176,-0.043501,0.110355,-0.020897,-0.024714,-0.006214,-0.00783,-0.057285,-0.081059,-0.01991,0.022777,-0.034873,-3e-04,0.012751,-0.005896,0.036781,-0.025941,-0.020298,0.023614,0.047123,-0.022057,-0.051571,-0.044667,0.046082,0.016928,0.017028,-0.018643,0.006125,-0.009588,-0.033801,-0.031629,0.024066,-0.021793,-0.014474,0.056484,0.004684,0.024917,-0.09309,0.017914,0.049842,-0.004694,-0.0385,-0.046904
"being",-0.001654,-0.031616,0.061506,-0.007357,0.055526,-0.030242,0.059462,-0.046423,-0.016956,-0.018912,0.048199,0.024301,-0.030351,0.024029,-0.079564,-0.011362,0.03984,0.032522,-0.050849,-0.060606,-0.084473,-0.021116,0.028671,-0.030103,0.019562,-0.00448,-0.040091,0.033591,0.029204,-0.031636,-0.00674,0.017873,-0.018134,-0.005281,-0.04736,0.054495,0.025771,-0.008576,0.038504,0.032366,0.06276,-0.043118,0.022318,0.036162,-0.04492,0.030815,-0.040003,-0.009074,-0.028294,0.036369,-0.017129,0.01969,0.063154,-0.008845,0.026992,-0.019171,0.046826,-0.03779,-0.057555,0.101893,-0.026146,-0.029691,-0.009681,-0.027147,-0.047208,-0.089779,-0.040533,0.023148,-0.046145,0.005032,0.030285,-0.01656,0.041331,-0.011386,-0.018851,0.044126,0.074471,-0.019675,-0.055817,-0.028683,0.046998,0.023058,0.005651,-0.014664,0.023894,-0.024642,-0.018481,-0.015811,0.02051,-0.014491,-0.042406,0.042253,0.009166,0.024475,-0.082712,-0.011088,0.039747,-0.005823,-0.04485,-0.029236
"between",-0.00949,-0.045313,0.055261,-0.017968,0.096584,-0.043737,0.074825,-0.041176,-0.016989,-0.009484,0.055277,0.017874,-0.031494,-0.002747,-0.076533,-0.016586,0.047064,0.026197,-0.068612,-0.081174,-0.097208,-0.022719,0.041173,-0.018931,0.046318,-0.014747,-0.039035,0.031485,0.031828,-0.004432,0.012494,0.021051,-0.012904,-0.043794,-0.083675,0.064374,0.049333,0.005616,0.026995,0.049225,0.04155,-0.043915,-0.001069,0.047765,-0.027226,0.013206,-0.021011,-0.006291,-0.06149,0.048354,-0.018433,-0.009738,0.061726,-0.008163,0.046931,-0.026705,0.023705,-0.024186,-0.052028,0.054032,-0.001962,-0.020356,-0.021659,-0.025046,0.000692,-0.047021,-0.054167,0.047685,-0.054168,0.008367,0.044678,-0.011676,0.049746,-0.008357,-0.041298,0.029877,0.05718,0.006299,-0.038229,-0.019491,0.061677,0.021685,-0.027815,-0.002695,0.036466,-0.038847,-0.011878,0.006097,-0.005099,0.004583,-0.051397,-0.005817,-0.006186,0.015141,-0.065339,-0.042949,-0.010419,-0.002604,-0.029193,-0.024215
"Thing",-0.003431,-0.039251,0.041213,-0.006704,0.07467,-0.025678,0.048221,-0.029047,-0.019369,-0.01141,0.053063,0.014293,-0.021601,0.002011,-0.054882,-0.023059,0.042833,0.021938,-0.057965,-0.060523,-0.088962,-0.020846,0.036539,-0.025035,0.034014,-0.006278,-0.035468,0.032577,0.022688,-0.000494,0.00675,0.017969,-0.005471,-0.031396,-0.071426,0.049065,0.043753,0.00868,0.030245,0.038164,0.036449,-0.041742,-0.003935,0.04133,-0.034392,0.014222,-0.019095,-0.008035,-0.045715,0.04171,-0.013923,0.001491,0.063392,-0.015198,0.037134,-0.023068,0.025016,-0.016368,-0.048356,0.062875,-0.009153,-0.01632,-0.011359,-0.034415,-0.005504,-0.043766,-0.037924,0.043297,-0.048901,0.010874,0.033386,-0.001956,0.05198,-0.004614,-0.028313,0.025798,0.061073,-0.010899,-0.036802,-0.029167,0.053331,0.030114,-0.006758,-0.006294,0.037916,-0.033294,-0.010895,0.009788,0.003594,8e-06,-0.05785,0.003838,-0.005573,0.021407,-0.076822,-0.030906,0.003274,-0.007998,-0.033639,-0.01875
"Things",-0.017723,-0.058991,0.063551,0.010289,0.081293,-0.032529,0.060071,-0.046483,-0.022204,0.000763,0.083964,0.017671,-0.041773,0.020637,-0.075987,-0.01781,0.044069,0.030942,-0.0573,-0.077865,-0.094738,-0.022843,0.049697,-0.032383,0.020293,0.012719,-0.036653,0.022138,0.013713,-0.024406,0.001808,0.039607,0.004116,-0.014062,-0.090503,0.063075,0.061766,-0.006911,0.022024,0.032798,0.071238,-0.047325,-0.011413,0.037358,-0.057244,0.035243,-0.032894,-0.013065,-0.058956,0.058835,-0.005268,-0.008612,0.067923,-0.022532,0.042787,-0.04495,0.031357,-0.017309,-0.057686,0.101551,-0.01394,-0.029325,-0.016022,-0.059871,-0.017513,-0.07454,-0.049225,0.030067,-0.042612,0.022297,0.015706,-0.001663,0.074844,0.012694,-0.021184,0.035919,0.080085,-0.034047,-0.059935,-0.05853,0.057,0.036065,0.01524,-0.037463,0.047797,-0.026645,-0.014006,0.004618,0.022421,-0.007765,-0.053711,0.035398,0.00815,0.014638,-0.098458,-0.038385,0.024554,-0.021482,-0.057293,-0.027062
