"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"</s>",-0.003336,0.000808,0.004623,0.002786,0.002377,-0.004658,-0.003474,0.003726,0.004359,0.001901,-0.003791,-0.001153,-0.001891,-0.00397,-0.001047,0.003691,-0.003317,-0.004373,-0.003129,0.004084,0.000826,0.002294,0.000795,-0.004086,0.001388,-0.004712,-5.3e-05,-0.000915,-0.000636,-0.004729,0.002625,-0.000424,-0.004498,0.003773,0.002252,0.003522,-0.002399,-0.001966,0.002748,0.001763,-0.000175,0.001336,-0.003621,-0.004519,0.001868,0.002637,-0.000882,0.00189,-0.000143,-0.004612,0.000739,-0.003091,-0.003727,-0.004791,0.001769,-0.002479,0.001133,0.001969,-0.004243,0.004012,-0.004333,0.00213,0.001099,0.000381,0.003718,-0.001142,-0.002607,-0.004354,-0.001147,0.000923,0.004884,-0.00448,0.003385,0.003988,-0.000677,-0.000765,-0.002502,-0.00219,0.004917,0.004679,-0.001158,-0.000961,-0.003532,0.000729,-0.003283,-0.003515,0.000511,0.004209,-0.003518,0.002237,-0.002036,0.003317,-0.000623,-0.002005,0.002211,0.002141,0.002293,0.004982,0.003841,-0.004376
"the",0.131858,-0.065258,0.089144,-0.095156,0.078815,-0.134197,0.056581,-0.007434,-0.080843,-0.079078,0.111926,-0.040484,0.086959,-0.026863,-0.079525,-0.088123,0.028498,0.22631,-0.046411,-0.035301,-0.0511,-0.154151,0.027688,-0.03451,0.176788,-0.18054,-0.122856,0.164248,0.087157,0.060958,-0.009016,0.128534,0.0027,-0.143073,-0.084984,0.149536,-0.117233,0.17168,0.144682,-0.076737,-0.058859,0.109517,-0.036798,-0.07241,0.083652,0.090064,-0.012382,-0.043702,0.033041,-0.021472,0.010218,-0.010771,0.069366,-0.098614,0.113709,0.028332,0.167212,-0.174734,-0.120363,-0.058747,-0.077623,-0.153433,-0.093582,-0.132776,-0.095555,-0.042454,-0.117048,-0.112908,-0.02411,0.046246,0.123546,-0.132198,-0.018656,0.025905,-0.011341,0.184581,0.186744,-0.057786,-0.109429,0.076745,0.020711,0.101382,-0.084527,0.09957,0.123905,-0.126582,0.135436,0.026541,-0.037681,0.08038,-0.170069,-0.083039,0.157485,0.128705,-0.003157,-0.053349,0.00382,-0.03811,-0.086141,0.100585
"and",0.116454,-0.054685,0.142138,-0.110251,0.071183,-0.100658,0.095103,0.011476,-0.051832,-0.111543,0.013095,0.010475,0.094987,-0.067791,-0.02419,-0.10949,0.054651,0.061087,0.003027,-0.0154,-0.090469,-0.0877,0.052191,-0.03859,0.160476,-0.134357,-0.050411,0.22546,0.097167,0.076636,0.010068,0.016903,-0.051521,-0.151415,-0.037048,0.161275,-0.08554,0.084414,0.178361,0.040444,-0.15944,0.054811,-0.058453,-0.004942,0.040825,0.063106,-0.029251,0.018462,0.041496,-0.01806,0.005589,0.061001,0.084994,-0.057767,0.128462,0.065012,0.167919,-0.107225,-0.073022,-0.055502,-0.061666,-0.071455,0.008273,-0.068998,-0.114031,0.023914,-0.066396,-0.02237,-0.041133,0.021772,0.115241,-0.052172,0.019143,-0.01514,-0.038506,0.140068,0.155341,-0.023651,-0.068853,0.072001,0.105249,0.047106,-0.133185,0.087286,0.077378,-0.142446,0.068741,-0.025749,-0.051712,0.098095,-0.154642,-0.089832,0.031558,0.075855,0.005245,-0.00345,-0.020895,-0.018103,0.018212,0.027045
"of",0.150843,-0.0143,-0.02557,-0.145593,0.102968,-0.213166,0.12191,-0.048379,-0.164857,0.010465,0.091146,0.024944,0.058283,-0.007584,-0.068308,0.019281,0.070983,0.240179,-0.132609,-0.154471,-0.043359,-0.139206,0.132817,0.100586,0.24947,-0.094745,-0.221138,0.114162,0.089471,0.023199,-0.006898,-0.011301,-0.099191,-0.195542,0.001287,0.094945,-0.098231,0.198646,0.086662,0.017257,-0.079343,0.13547,0.004153,-0.005484,0.125541,0.020583,-0.013206,-0.053755,-0.086128,-0.013454,0.004503,-0.045959,0.069704,-0.02888,0.10404,-0.001115,0.083021,-0.177211,-0.158975,0.006523,0.002259,-0.01934,0.004332,-0.000592,0.06072,-0.098248,-0.23603,-0.00126,-0.136791,-0.010947,0.199635,-0.104098,-0.03161,0.047978,-0.014437,0.175736,0.199305,0.115111,-0.057516,0.176423,0.02648,0.00872,-0.102024,0.131791,0.15476,-0.20466,0.028506,0.036248,-0.073463,0.053601,-0.173069,-0.172035,0.108729,0.090516,-0.004401,-0.035972,0.026553,-0.02748,-0.017498,0.022622
"to",0.094991,-0.050627,0.099495,-0.112602,0.080201,-0.038218,0.073081,-0.009249,-0.005565,-0.044024,0.029422,0.037129,-0.007181,-0.020228,-0.072254,-0.031944,0.080763,0.036166,-0.089187,-0.08808,-0.091403,-0.053205,0.070361,0.009499,0.065776,-0.012833,-0.029722,0.183273,0.058454,0.087911,0.032579,-0.047026,-0.086789,-0.088412,-0.091295,0.099787,0.040155,0.068856,0.045666,0.130704,-0.050466,0.016164,-0.043332,0.04654,-0.040483,0.024454,-0.035327,0.007258,-0.019365,0.003911,-0.005053,0.033798,0.08231,0.000604,0.085053,0.019579,0.103425,-0.035938,-0.08555,0.042819,-0.014145,0.012659,-0.016999,-0.021798,-0.027509,0.021273,-0.049011,0.059677,-0.05194,0.032758,0.137695,0.030803,0.04892,0.004321,-0.046512,0.020627,0.054718,-0.001919,-0.0266,0.024241,0.099788,0.062633,-0.085224,0.017013,0.110314,-0.094014,-0.023263,0.040375,-0.014472,-0.012375,-0.098183,-0.065884,-0.015308,0.067326,-0.047567,-2.4e-05,-0.031117,-0.05122,-0.013733,-0.026251
"a",0.131577,-0.145248,0.123354,-0.078477,0.149093,-0.070392,0.058224,0.00684,-0.124209,-0.081527,0.094203,0.017988,0.035456,0.030859,-0.058914,-0.093253,0.043811,0.123499,-0.041743,-0.114965,-0.131075,-0.030374,0.067268,-0.05823,0.087247,-0.15467,-0.078165,0.183356,-0.00347,0.136211,0.040309,0.021407,0.002263,-0.130968,-0.156618,0.070354,-0.025018,0.181269,0.101351,0.059788,-0.045978,0.084922,-0.116378,-0.050083,-0.049821,0.155661,-0.053688,0.073852,-0.0107,0.027671,0.060902,0.016789,0.134933,-0.111022,0.206804,0.006348,0.09337,-0.081642,-0.157278,-0.021443,-0.095652,-0.066868,0.04462,-0.101732,-0.091414,0.047503,-0.084239,0.006967,-0.09673,0.060988,0.083627,-0.017715,0.063776,0.020661,-0.020882,0.157205,0.189674,-0.016828,-0.033544,-0.011776,0.025089,0.074179,-0.070826,0.052912,0.134007,-0.117545,0.115348,0.086612,-0.077014,0.115264,-0.195197,-0.048709,0.04367,0.097292,0.093972,-0.130251,-0.066004,0.001742,-0.000941,0.041521
"in",0.145881,0.022247,-0.000229,-0.110963,-0.050808,-0.135706,0.062917,-0.02594,-0.119035,0.039456,0.00396,0.039713,0.031506,0.024056,0.001185,0.054112,0.026075,0.152749,-0.042102,-0.101644,0.022877,-0.099298,0.130797,0.075195,0.124491,0.00325,-0.152024,0.112279,0.033023,-0.025032,-0.025169,-0.074192,-0.104313,-0.085164,0.109829,0.063284,-0.08591,0.103122,0.050589,0.041868,-0.06639,0.145249,0.022982,0.006499,0.067291,0.044765,-0.042226,-0.01038,-0.004701,-0.070169,0.034895,0.006935,0.031952,-0.008578,0.033063,0.048691,0.097244,-0.104795,-0.141051,0.104581,-0.041832,0.038289,0.06151,0.023838,-0.014338,-0.126598,-0.138958,-0.003211,-0.08284,-0.012854,0.108689,-0.013427,0.010515,0.056504,0.022761,0.133158,0.157334,0.0606,-0.087397,0.104677,-0.005198,-0.006547,-0.011089,0.037503,0.114188,-0.141674,-0.050626,-0.00894,-0.003191,-0.032446,-0.103792,-0.054762,0.07444,0.065797,-0.05883,0.064919,0.10299,-0.044092,-0.013381,-0.047386
"I",0.051127,-0.012914,0.189487,-0.044571,-0.004484,0.044624,0.036777,0.031987,0.002773,-0.004212,-0.009192,0.042696,0.016376,-0.084712,-0.005556,-0.061889,0.016577,-0.042662,-0.044478,-0.064093,-0.113122,-0.080782,0.071387,-0.109089,0.053675,0.047808,0.045778,0.171706,0.048021,0.105959,0.070671,-0.071347,-0.014699,-0.054047,-0.111699,0.069217,0.151301,-0.009826,0.09455,0.197317,-0.053949,-0.025385,-0.130542,0.037264,-0.091897,0.101185,-0.028793,-0.001905,0.035153,0.050901,0.049185,0.038414,0.127705,-0.03205,0.105584,0.03184,0.106781,0.024999,-0.080337,0.17995,-0.08966,0.027005,0.033016,-0.030927,-0.078338,-0.027407,0.005924,0.116779,-0.058751,0.044662,0.056162,0.096353,0.213297,0.066048,-0.051519,0.004102,0.094692,-0.072738,-0.090431,-0.102644,0.13141,0.117803,-0.038304,-0.093525,0.16359,-0.086598,-0.062631,-0.044938,0.015796,-0.029045,-0.126359,-0.02307,-0.019917,0.091673,-0.205017,0.024446,0.055253,-0.145165,-0.064193,-0.17462
"is",0.146376,-0.096358,0.098998,-0.130675,0.110104,-0.145382,0.147328,-0.06043,-0.131751,0.007546,0.103709,0.049312,0.013763,0.028319,-0.072555,-0.032667,0.073203,0.160396,-0.10363,-0.175449,-0.093695,-0.088247,0.123772,0.024366,0.143402,-0.060765,-0.114318,0.167837,0.024321,0.061802,0.012134,-0.024184,-0.057143,-0.140025,-0.074143,0.095661,-0.013482,0.167858,0.067618,0.080092,-0.05456,0.122124,-0.087926,0.00408,-0.014641,0.113308,-0.041722,0.028268,-0.04405,0.001371,0.063186,-0.024946,0.099461,-0.077764,0.154066,-0.000949,0.088122,-0.087992,-0.158148,0.049845,-0.05277,0.010803,0.041964,-0.017988,0.000713,-0.015623,-0.15169,0.021274,-0.117032,0.029771,0.139619,0.003291,0.098637,0.078217,-0.004102,0.140734,0.174665,0.031743,-0.069266,0.070648,0.01478,0.059707,-0.073117,0.038655,0.166411,-0.163389,0.018767,0.065503,-0.048637,0.043256,-0.169811,-0.107197,0.07314,0.080977,0.035761,-0.056054,-0.029322,-0.073374,0.000116,0.009929
"at",0.055015,0.045946,0.144435,-0.145581,0.087157,-0.017092,0.071009,0.024195,0.047149,-0.213093,-0.13573,0.087951,0.098943,-0.058046,-0.123347,-0.060846,0.058499,-0.028805,-0.097906,-0.002534,-0.20451,-0.012155,-0.069771,-0.063707,0.127304,-0.162887,-0.065111,0.197782,0.181386,0.076461,0.009529,-0.088653,-0.129859,-0.139843,-0.072943,0.107033,-0.097764,0.006633,0.20981,0.137776,-0.080302,-0.054548,0.098198,0.067806,0.034159,-0.001249,-0.063281,-0.007215,0.075888,0.029557,-0.089451,0.132566,0.166267,0.042493,0.068512,0.159948,0.201415,-0.164935,-0.079425,-0.003,-0.079541,-0.08712,-0.028899,0.087387,-0.215385,-0.027237,-0.054418,0.067744,-0.118,-0.066276,0.16809,-0.127926,-0.042575,-0.185403,-0.141955,0.07204,0.094811,0.062454,-0.027257,0.059682,0.190182,0.032365,-0.181863,0.137593,-0.039721,-0.069509,-0.006533,-0.162052,-0.082722,0.049615,-0.092254,-0.041847,-0.052245,0.107994,-0.044576,0.061488,0.006886,0.095282,-0.021044,-0.127362
"--",0.131383,0.047037,0.089545,-0.087838,-0.279427,-0.095572,0.012089,-0.123611,-0.049884,0.061609,-0.036618,0.084782,-0.056472,0.242455,-0.04256,0.176912,-0.063034,0.157367,-0.010461,-0.052405,0.053204,-0.043954,0.030938,0.024044,-0.069109,0.107798,-0.133979,0.039061,-0.04691,-0.158738,-0.156512,-0.096142,-0.12329,0.151392,0.305726,-0.006165,-0.154101,-0.023249,0.001196,-0.031146,0.110771,0.172476,0.171673,-0.034566,-0.059711,0.179217,-0.154609,-0.024956,0.146772,-0.142417,0.059816,0.108043,0.016151,-0.016426,-0.068208,0.113687,0.134673,-0.164887,-0.184377,0.421215,-0.171,-0.038132,0.07275,0.096966,-0.25618,-0.357433,-0.077786,-0.179369,-0.000453,-0.03024,-0.010215,-7.5e-05,0.046661,0.062547,0.11561,0.176006,0.140891,-0.108153,-0.221447,-0.011529,-0.140618,0.020755,0.20098,-0.07316,0.067114,0.008939,-0.153761,-0.123025,0.139523,-0.179389,0.056163,0.215312,0.20123,0.128522,-0.137408,0.284624,0.349711,-0.106488,-0.069125,-0.113005
"with",0.010927,0.022702,0.132903,-0.071634,0.125706,0.013077,0.066817,0.017,0.035628,-0.213081,-0.112225,0.096532,0.069592,-0.035183,-0.137562,-0.073473,0.073522,-0.051531,-0.083489,-0.003947,-0.236132,-0.005105,-0.068538,-0.105655,0.094435,-0.163949,-0.058365,0.164143,0.173845,0.045791,0.005961,-0.051259,-0.09513,-0.129537,-0.098869,0.10505,-0.06311,-0.037598,0.21179,0.130005,-0.031538,-0.111995,0.075165,0.094359,0.010985,0.009118,-0.067201,0.007544,0.050196,0.08098,-0.107681,0.129877,0.185057,0.032264,0.071459,0.115661,0.178323,-0.14304,-0.07601,0.021621,-0.08345,-0.102447,-0.023421,0.049407,-0.230676,-0.051844,-0.041313,0.093795,-0.12124,-0.069491,0.127336,-0.115803,-0.014176,-0.190735,-0.177889,0.086684,0.123927,0.038746,-0.025286,0.012399,0.195364,0.003909,-0.151954,0.122775,-0.05113,-0.058809,0.00276,-0.163711,-0.082221,0.068889,-0.097487,0.002968,-0.060877,0.094225,-0.065704,0.00954,0.020254,0.101643,-0.031988,-0.131128
"Mr.",0.009229,0.066016,0.135815,-0.061845,0.106539,0.08469,0.028651,0.068243,0.098266,-0.314983,-0.218223,0.100683,0.116835,-0.07971,-0.143572,-0.108778,0.058214,-0.119014,-0.052247,0.107964,-0.24593,1.3e-05,-0.195809,-0.15836,0.091872,-0.259358,0.004365,0.199744,0.248332,0.059892,-0.007146,-0.032792,-0.127193,-0.159005,-0.070843,0.095208,-0.151135,-0.094025,0.281794,0.113396,-0.098182,-0.161561,0.116896,0.088717,0.075856,-0.030336,-0.057849,0.017146,0.153691,0.078222,-0.173091,0.19481,0.189531,0.061321,0.05588,0.191032,0.241966,-0.168258,-0.00534,-0.084033,-0.134962,-0.16581,-0.045867,0.098516,-0.353977,0.009037,0.026763,0.060975,-0.076866,-0.12994,0.108478,-0.173884,-0.095136,-0.291565,-0.256244,0.087931,0.064223,0.024124,0.019938,0.041231,0.230973,-0.028394,-0.206094,0.178642,-0.153707,-0.022446,0.019047,-0.260153,-0.122595,0.096695,-0.063724,0.009992,-0.07323,0.107776,0.004907,0.052494,-0.012979,0.17118,-0.007791,-0.144988
"that",0.107644,-0.069568,0.121479,-0.097359,0.097188,-0.065862,0.094143,-0.029359,-0.027788,0.011337,0.080176,0.018149,-0.027601,-0.017269,-0.073772,-0.042538,0.071881,0.08511,-0.110279,-0.114549,-0.109546,-0.076453,0.08983,-0.007434,0.08971,-0.000612,-0.053668,0.14482,0.050294,0.061188,0.022945,-0.002686,-0.038016,-0.09397,-0.112579,0.09614,0.06763,0.061237,0.052201,0.104918,-0.03915,0.014525,-0.097499,0.054274,-0.043869,0.058361,-0.015932,0.006346,-0.038833,0.019697,0.032889,-0.018532,0.089123,-0.052874,0.106564,-0.009523,0.080106,-0.025096,-0.104728,0.074597,-0.03818,0.010498,0.020006,-0.016878,0.000975,-0.012155,-0.085131,0.056941,-0.069829,0.015501,0.10617,0.045809,0.139388,0.059927,-0.046498,0.050971,0.10573,-0.028086,-0.073734,0.005578,0.090483,0.061696,-0.046913,-0.032268,0.133353,-0.101691,-0.030703,0.037988,-0.019781,-0.014708,-0.092588,-0.043755,0.023786,0.067909,-0.067564,-0.012353,-0.037452,-0.077217,-0.036937,-0.039117
"his",0.084269,-0.091081,0.12006,-0.0583,0.156789,-0.043126,0.105225,-0.037489,-0.035554,-0.086197,0.06351,0.060826,0.001649,0.010297,-0.142115,-0.070058,0.083816,0.063621,-0.095668,-0.088643,-0.173905,-0.053497,0.019478,-0.07245,0.079749,-0.118842,-0.048715,0.176356,0.081715,0.056044,0.009241,0.018309,-0.053366,-0.132533,-0.12833,0.122268,-0.009297,0.062259,0.118114,0.06842,-0.01918,-0.025093,-0.051712,0.039012,-0.023257,0.07796,-0.034039,0.040213,-0.005808,0.055831,-0.0235,0.030706,0.122061,-0.039729,0.138628,0.018072,0.13104,-0.080786,-0.108791,0.019415,-0.074229,-0.04921,-0.000248,-0.022245,-0.108537,0.019914,-0.070954,0.045753,-0.094158,-0.003634,0.100925,-0.035867,0.067147,-0.034219,-0.102236,0.111144,0.121577,-0.01584,-0.052231,0.028142,0.08646,0.028892,-0.084227,0.047021,0.074655,-0.104657,0.025552,-0.016407,-0.063618,0.053431,-0.14056,-0.042883,0.024803,0.079206,0.026151,-0.068808,-0.045447,-0.006369,-0.01791,-0.019784
"he",0.072325,-0.077608,0.132214,-0.089265,0.12311,0.003321,0.087228,-0.032369,0.019944,-0.041724,0.028634,0.054164,-0.034353,0.015452,-0.105506,-0.040259,0.082337,0.007187,-0.121457,-0.117314,-0.160374,-0.001798,0.04141,-0.025418,0.033634,-0.012212,-0.015156,0.151294,0.035755,0.097056,0.033194,-0.050344,-0.055798,-0.074049,-0.160641,0.06231,0.082635,0.049554,0.041662,0.154986,-0.004659,-0.026333,-0.071984,0.057533,-0.102905,0.075043,-0.040803,0.03084,-0.026176,0.041653,0.016434,0.017737,0.11439,-0.017486,0.107546,0.002926,0.06791,-0.016527,-0.098451,0.071385,-0.051927,0.028373,0.016012,0.026788,-0.040592,0.051144,-0.04487,0.09383,-0.082277,0.016144,0.109722,0.049908,0.125166,0.005647,-0.075638,0.002559,0.034209,-0.012233,-0.020824,-0.026645,0.097463,0.071184,-0.05993,-0.024687,0.094281,-0.059568,-0.036824,0.02816,-0.023858,-0.012472,-0.06783,-0.020931,-0.025335,0.062746,-0.009108,-0.036531,-0.064182,-0.039568,-0.009531,-0.073184
"for",0.07423,-0.047274,0.070213,-0.105491,0.103271,-0.09633,0.103174,-0.049257,-0.049945,-0.037302,0.039758,0.046645,-0.00286,0.021532,-0.084725,-0.003982,0.068182,0.081918,-0.113324,-0.124258,-0.111076,-0.035569,0.064138,0.031904,0.093268,-0.043726,-0.101251,0.094256,0.059111,0.028556,0.003479,-0.032906,-0.076967,-0.088449,-0.065453,0.070671,-0.004804,0.083824,0.049239,0.076274,-0.009337,0.021519,0.006187,0.035108,-0.012821,0.030899,-0.039091,0.004866,-0.059072,0.019737,-0.008095,0.006656,0.080985,-0.012734,0.072779,0.003621,0.0669,-0.076924,-0.101007,0.040517,-0.013304,0.00067,0.002599,0.015988,-0.010449,-0.041963,-0.114642,0.053184,-0.095972,-0.004418,0.120492,-0.031822,0.027828,-0.003123,-0.034896,0.068487,0.093716,0.053985,-0.031329,0.04058,0.050888,0.018963,-0.064811,0.04865,0.062033,-0.082954,-0.011428,0.00971,-0.034423,0.010068,-0.076228,-0.05374,0.006398,0.04468,-0.001939,-0.021441,-0.020251,0.004063,-0.007966,-0.018797
"was",0.113779,-0.023369,0.07114,-0.134465,0.048774,-0.038264,0.067718,-0.007753,-0.004323,-0.030899,-0.008439,0.045982,-0.007268,0.010947,-0.080985,0.002968,0.064772,0.060392,-0.121004,-0.099769,-0.102327,-0.044536,0.053138,0.035787,0.076101,-0.006588,-0.061783,0.146684,0.057759,0.065974,0.004952,-0.086388,-0.097336,-0.079585,-0.046207,0.050682,0.008411,0.066682,0.048054,0.130502,-0.062664,0.042597,-0.016272,0.05627,-0.024726,0.045449,-0.035065,0.011869,0.005522,-0.012588,0.007886,0.022543,0.086318,-0.005695,0.067358,0.047524,0.095719,-0.060918,-0.113156,0.074656,-0.051871,0.025179,0.024835,0.065875,-0.038079,-0.016064,-0.068468,0.052391,-0.073473,-0.023442,0.127887,0.018505,0.070729,0.008244,-0.062596,0.034853,0.053785,0.024434,-0.041864,0.04485,0.075451,0.036612,-0.064292,0.01819,0.094168,-0.084056,-0.063095,-0.009871,-0.029138,-0.039015,-0.071318,-0.047756,0.013771,0.081562,-0.025226,0.041586,-0.010307,-0.046573,-0.010822,-0.088994
"my",0.082449,-0.023724,0.151271,-0.064921,-0.021213,0.062024,0.019232,0.061404,0.033932,-0.045981,-0.035976,0.01883,0.033774,-0.096708,-0.029576,-0.059034,0.018138,-0.037906,-0.047924,-0.024086,-0.120002,-0.096799,0.045072,-0.074362,0.061327,-0.004708,0.042347,0.207962,0.076493,0.115671,0.065595,-0.065674,-0.018037,-0.058097,-0.100339,0.09845,0.117662,-0.021109,0.100765,0.195492,-0.076451,-0.037508,-0.093899,0.062416,-0.072133,0.052991,-0.019023,0.002428,0.066821,0.005069,0.006907,0.080338,0.142853,-0.030748,0.061197,0.06874,0.156305,-0.009271,-0.07918,0.168493,-0.094828,-0.006397,-0.001913,-0.046276,-0.112546,-0.030574,0.033681,0.108552,-0.039602,0.027026,0.074002,0.072667,0.159762,0.004349,-0.078538,8.3e-05,0.096059,-0.087993,-0.111647,-0.083451,0.154011,0.129849,-0.04825,-0.065658,0.130045,-0.084233,-0.070903,-0.058265,0.019531,-0.049504,-0.127984,-0.002094,-0.03183,0.101049,-0.21705,0.061644,0.036189,-0.137076,-0.08747,-0.166103
"this",0.028725,-0.059099,0.097233,-0.041906,0.08419,-0.046317,0.091074,-0.039205,-0.029464,-0.010948,0.052742,0.026499,-0.029181,0.003258,-0.07519,-0.029929,0.044498,0.034224,-0.084513,-0.094395,-0.113293,-0.039967,0.059057,-0.021976,0.052129,-0.002573,-0.033962,0.081192,0.027284,0.03153,0.021091,-0.005061,-0.023226,-0.055594,-0.092985,0.068105,0.061149,0.036126,0.041488,0.091626,0.016752,-0.010236,-0.037977,0.040832,-0.053382,0.058956,-0.036794,0.008726,-0.041467,0.038533,0.002709,0.011423,0.095198,-0.031675,0.077049,-0.019058,0.056871,-0.022946,-0.078546,0.09374,-0.032608,-0.002947,0.005612,-0.020667,-0.028497,-0.03364,-0.062268,0.053566,-0.069209,0.019306,0.066741,0.012536,0.097994,0.015476,-0.030803,0.040787,0.086797,-0.01414,-0.056562,-0.02782,0.06818,0.056447,-0.026677,-0.021678,0.084976,-0.061035,-0.016876,0.004976,-0.003592,0.002809,-0.085086,-0.012548,0.003963,0.038114,-0.070407,-0.026436,-0.000285,-0.04397,-0.035497,-0.04733
"as",0.058182,-0.034968,0.092052,-0.068156,0.057568,-0.046667,0.056733,-0.013212,-0.038549,0.010317,0.035792,0.018348,-0.007217,-0.027572,-0.038454,-0.014638,0.056725,0.064773,-0.08886,-0.103197,-0.099029,-0.05495,0.091443,-0.007607,0.083516,0.0071,-0.066275,0.097774,0.038556,0.055814,0.029199,-0.047583,-0.02562,-0.052291,-0.094801,0.062148,0.076175,0.048551,0.037359,0.117921,-0.025075,0.003224,-0.032854,0.0392,-0.040659,0.035773,-0.032704,-0.01156,-0.045301,0.032575,0.034987,-0.013538,0.099298,-0.020374,0.065094,0.001869,0.066241,-0.021051,-0.106825,0.114064,-0.045853,0.018878,0.026886,-0.011234,-0.005369,-0.072328,-0.078771,0.08262,-0.084647,0.02235,0.072887,0.024588,0.115352,0.04007,-0.034868,0.037844,0.113661,-0.004967,-0.074806,-0.040293,0.084095,0.061486,-0.033354,-0.026318,0.101785,-0.08242,-0.037323,0.006359,0.005783,-0.024275,-0.09267,-0.02457,-0.016241,0.070618,-0.125455,-0.008813,0.018675,-0.046575,-0.050497,-0.078131
"The",0.084718,-0.06457,0.053445,-0.068604,0.147246,-0.148132,0.132566,-0.046178,-0.107365,-0.027521,0.11694,0.011487,0.013486,-0.011138,-0.091251,-0.046327,0.069929,0.152171,-0.081031,-0.105655,-0.09696,-0.095998,0.074225,0.009952,0.157392,-0.102214,-0.123985,0.096654,0.079245,0.002125,-0.003874,0.067236,-0.034253,-0.142559,-0.078487,0.120192,-0.039965,0.112232,0.087971,-0.004584,-0.017824,0.028983,-0.025168,0.012623,0.043591,0.043709,-0.010074,-0.013751,-0.067699,0.029594,-0.012988,-0.031417,0.066444,-0.046234,0.10317,-0.022807,0.078611,-0.099624,-0.1046,-0.02184,-0.011722,-0.05699,-0.0171,-0.056551,0.006317,-0.045892,-0.133258,-0.003648,-0.082754,-0.002482,0.105311,-0.069559,0.013251,0.020705,-0.029759,0.132313,0.150062,0.033904,-0.058936,0.077234,0.037158,0.015039,-0.078386,0.072899,0.085609,-0.128699,0.05079,0.026896,-0.052318,0.059592,-0.131923,-0.083708,0.074774,0.040519,0.014428,-0.073365,-0.030787,-0.00171,-0.031042,0.058687
"have",0.028347,-0.087266,0.137311,-0.048638,0.104293,-0.004202,0.093497,-0.014891,0.010742,0.038559,0.082647,-6.6e-05,-0.043071,-0.065173,-0.049152,-0.056721,0.051642,0.006842,-0.107627,-0.110177,-0.135029,-0.063093,0.095931,-0.034728,0.063511,0.044249,0.016944,0.119404,0.025171,0.097515,0.068366,-0.000915,0.018264,-0.060578,-0.184995,0.083837,0.187484,0.012426,0.023392,0.153421,-0.01799,-0.045263,-0.135228,0.060177,-0.110466,0.052412,0.003112,-0.001749,-0.066245,0.059344,0.034527,-0.028944,0.101554,-0.04928,0.100013,-0.054185,0.042882,0.053518,-0.05593,0.108824,-0.01836,0.036243,-0.001543,-0.048281,0.047474,0.019266,-0.030775,0.11539,-0.06144,0.063297,0.073073,0.092949,0.212121,0.075572,-0.03717,-0.023254,0.062809,-0.052333,-0.06696,-0.073617,0.125791,0.117644,-0.044089,-0.097334,0.153637,-0.081076,-0.035153,0.037456,0.009674,-0.018253,-0.091472,-0.048522,-0.029519,0.04851,-0.14077,-0.045954,-0.061694,-0.130526,-0.046304,-0.078616
"[",0.119974,0.131194,0.108365,-0.063368,-0.47688,-0.150333,0.016991,-0.250562,-0.058973,0.090998,-0.056748,0.165138,-0.120318,0.437029,-0.087951,0.326792,-0.124342,0.216051,0.028337,-0.055221,0.130766,-0.019569,-0.000248,0.032127,-0.184765,0.2237,-0.224432,-0.053085,-0.084532,-0.377902,-0.304774,-0.126207,-0.186402,0.331174,0.555636,-0.022179,-0.292037,-0.117025,-0.020832,-0.12423,0.307041,0.222412,0.380353,-0.064093,-0.087721,0.262115,-0.263268,-0.072399,0.234169,-0.214313,0.064261,0.174792,-0.025989,0.032674,-0.210738,0.182026,0.163563,-0.2873,-0.266455,0.731455,-0.237686,-0.07253,0.070089,0.166066,-0.423558,-0.664101,-0.107548,-0.325771,0.051468,-0.074551,-0.078827,-0.038472,-0.008181,0.062688,0.229188,0.252259,0.18345,-0.179241,-0.344219,-0.027841,-0.27968,-0.010907,0.39796,-0.119195,0.009429,0.08993,-0.257374,-0.258278,0.268741,-0.318774,0.183474,0.442509,0.3166,0.146622,-0.247818,0.497314,0.652143,-0.109321,-0.148772,-0.179626
